Designator,Mid X,Mid Y,Rotation,Layer
C1,3.25,-60.75,180.0,top
C10,-18.625,-29.475,0.0,top
C11,11.125,-0.175,0.0,top
C12,13.325,-26.725,90.0,top
C13,80.75,-68.0,180.0,top
C14,84.5,-78.75,270.0,top
C15,4.15,1.925,180.0,top
C16,33.749999,-20.25,0.0,top
C2,-19.99,-73.66,90.0,top
C3,-9.250004,-60.750001,180.0,top
C4,15.749999,-61.000001,180.0,top
C5,28.249999,-60.750001,180.0,top
C6,57.655,-64.275,180.0,top
C7,52.86611686707646,-11.212131132923542,45.0,top
C8,48.25,-57.0,0.0,top
C9,-18.475,-24.025,0.0,top
CANBUS1,54.5,-81.285,180.0,top
CANBUS2,39.25,-81.285,180.0,top
CANBUS3,23.5,-81.285,180.0,top
J1,32.48,-4.29,270.0,bottom
J2,-1.5,-81.41002,0.0,top
J3,-23.460563,-79.641785,180.0,top
J4,82.642351,-58.546825,90.0,top
J5,39.25,-25.775019,0.0,top
J6,39.25,-14.525019,0.0,top
J7,28.5,-25.843027,0.0,top
J8,28.5,-14.525019,0.0,top
J9,11.904999,-10.045,270.0,top
Q1,2.25,-67.289999,270.0,top
Q2,-10.25,-67.29,270.0,top
Q3,14.749999,-67.539999,270.0,top
Q4,27.25,-67.289999,270.0,top
Q5,75.5,-59.21,90.0,top
Q6,48.153432,-41.142477,90.0,top
Q7,48.153432,-30.392477,90.0,top
Q8,48.153431,-19.642477,90.0,top
R1,-1.500001,-67.690002,90.0,top
R10,43.135,-70.985,0.0,top
R11,53.94,-71.0,180.0,top
R12,70.376791,-59.497717,270.0,top
R13,71.566791,-66.187718,180.0,top
R14,54.94,-40.75,180.0,top
R15,54.94,-43.75,180.0,top
R16,54.94,-30.0,180.0,top
R17,54.94,-33.0,180.0,top
R18,54.94,-19.25,180.0,top
R19,54.94,-22.25,180.0,top
R2,7.999998,-67.750002,270.0,top
R20,-30.865,-51.825,0.0,top
R3,-19.99,-82.1,90.0,top
R4,-4.5,-67.75,270.0,top
R5,-14.0,-67.690002,90.0,top
R6,20.499998,-67.75,270.0,top
R7,32.999999,-67.75,270.0,top
R8,10.999999,-67.690001,90.0,top
R9,23.5,-67.69,90.0,top
RJ1,-25.598437,-61.498214,90.0,top
RV1,60.55,-11.46,270.0,top
SPARKFUN-GPS-1,-18.5602,-6.57,90.0,top
U1,8.970561,-39.998214,0.0,top
U2,77.05,-27.499999,90.0,top
U3,72.700907,-76.307612,0.0,top
U5,48.44,-64.31,270.0,top
USB1,-26.651786,-40.729439,270.0,top
